id	node1	label	node2	rank	node2;wikidatatype
Q31-type-item	Q31	type	item		
Q31-label-en	Q31	label	'Belgium'@en		
Q31-P1082-3ad2177a-q31$31771111-1ff7-4563-a5cf-4e072324fa79-0	Q31	P1082	+9861823	normal	quantity
Q31-P1082-7432ba7a-q31$89f07e11-722b-4b3c-a072-46bd93fd6575-0	Q31	P1082	+9870234	normal	quantity
Q31-P1082-df7d5da4-q31$77903be2-2b02-4fe2-b528-be6851486bc4-0	Q31	P1082	+9901664	normal	quantity
Q31-P1082-bb0a66d3-q31$42750431-0052-4ba1-9a63-59e0c0f197a3-0	Q31	P1082	+9937697	normal	quantity
Q31-P1082-7b5b8a7d-q31$1f5c159c-847d-49fe-aa8a-86c3aa9d7d83-0	Q31	P1082	+9967379	normal	quantity
Q31-P1082-513a76ca-q31$0d3adea7-3946-489a-8f68-8ed1d4a33a6c-0	Q31	P1082	+10004486	normal	quantity
Q31-P1082-52fadfd4-q31$3cc82f14-06c3-4b4f-9512-695e4121a252-0	Q31	P1082	+10045158	normal	quantity
Q31-P1082-3b0d3774-q31$eb9562f4-5de3-41e7-a9ea-9b73b22337b3-0	Q31	P1082	+10084475	normal	quantity
Q31-P1082-953f2384-q31$2cbcc8ae-6239-4d5a-babc-a88414349fb5-0	Q31	P1082	+10115603	normal	quantity
Q31-P1082-03700d27-q31$2d484e69-94d3-4ac4-89d9-a1882c78507b-0	Q31	P1082	+10136811	normal	quantity
Q31-P1082-31965541-q31$8e477dbb-2820-4dfd-8e9f-5118303bddf6-0	Q31	P1082	+10156637	normal	quantity
Q31-P1082-acdde954-q31$2676839f-02b9-4116-89bc-c5ab9ada10b5-0	Q31	P1082	+10181245	normal	quantity
Q31-P1082-fa978364-q31$3bd4109d-26a7-4996-9f78-f047cbe8a73b-0	Q31	P1082	+10203008	normal	quantity
Q31-P1082-7074c7e2-q31$1b615f6e-57ee-44ed-ad7c-fd794ab11fe5-0	Q31	P1082	+10226419	normal	quantity
Q31-P1082-51bd6322-q31$de39b783-b227-4d09-97d2-1124186588e0-0	Q31	P1082	+10251250	normal	quantity
Q31-P1082-51f814e7-q31$a3a14c8b-f0e9-43f6-bc6f-d24a128e0686-0	Q31	P1082	+10286570	normal	quantity
Q31-P1082-e7bcd923-q31$d34283ad-bf00-4e76-a7ed-00ae7de46506-0	Q31	P1082	+10332785	normal	quantity
Q31-P1082-a820344a-q31$4582b808-7942-4121-bc16-35243023cf0a-0	Q31	P1082	+10376133	normal	quantity
Q31-P1082-2126a6e8-q31$1aad213f-2af4-4b03-b0e4-70d83ecba948-0	Q31	P1082	+10421137	normal	quantity
Q31-P1082-6e710ef9-q31$f36dc0ed-bfa0-4f90-9a07-aaa9640eacdb-0	Q31	P1082	+10478617	normal	quantity
Q31-P1082-6a54046b-q31$efc40e67-df6a-4b11-b43f-666d91582a4c-0	Q31	P1082	+10547958	normal	quantity
Q31-P1082-e491b160-q31$4175c797-b436-47c1-8e9a-e56660b5aba2-0	Q31	P1082	+10625700	normal	quantity
Q31-P1082-b9fbc2c4-q31$8a1825c0-a80b-4b36-832b-1898881eb5a0-0	Q31	P1082	+10709973	normal	quantity
Q31-P1082-11eb2d83-q31$ae07c403-bf3c-41e9-a9d3-d56b015d83fd-0	Q31	P1082	+10796493	normal	quantity
Q31-P1082-1dc8d823-q31$15542a63-06a1-4a5c-9e77-cdd9822a2c5c-0	Q31	P1082	+10920272	normal	quantity
Q31-P1082-4c690b35-q31$3f903777-1716-4983-8f96-6e50f97e4813-0	Q31	P1082	+11047744	normal	quantity
Q31-P1082-bb6e022d-q31$94b8586c-e7f8-4c02-957d-35f76d2e1960-0	Q31	P1082	+11128246	normal	quantity
Q31-P1082-884f8e0b-q31$90c17446-0c91-49b7-a85a-ea99c2136d5f-0	Q31	P1082	+11182817	normal	quantity
Q31-P1082-e7ec2fd9-q31$b210d006-44e1-430e-bc57-0c577aa4be62-0	Q31	P1082	+11372068	normal	quantity
Q31-P1082-73e46751-q31$b5611308-eb71-48ec-9bc7-dd0bb4164de8-0	Q31	P1082	+11492641	normal	quantity
Q31-P1082-bb5defdf-q31$4626c1ec-16c8-466d-bb14-b80092267290-0	Q31	P1082	+11431406	normal	quantity
Q31-P1082-15eea2b1-q31$e6e8bcd1-cc17-4e6c-b741-f0a3a2bfced5-0	Q31	P1082	+11376070	normal	quantity
Q31-P1082-c21306d4-q31$f37585d8-3d2e-4fae-b319-58779fc5e96c-0	Q31	P1082	+11322088	normal	quantity
Q31-P1082-812c449d-q31$4c4a5878-f5d3-4d5c-9d65-0ab06d00873d-0	Q31	P1082	+11267910	normal	quantity
Q31-P1082-6ff7a9f9-q31$4871b6a3-9148-4e5a-b5e2-c58e2148a41d-0	Q31	P1082	+11209044	normal	quantity
Q31-P1082-c8d96b49-q31$e7c7aa9b-1d98-4df7-9ab3-6147fb995f05-0	Q31	P1082	+11150516	normal	quantity
Q31-P1082-dd1c4b5f-q31$a4cabd46-fcc0-41e6-ba53-c957b6eff7b2-0	Q31	P1082	+11099554	normal	quantity
Q31-P1082-8aee89f7-q31$a930ca15-b35f-4ed0-adfe-c5cab130fd63-0	Q31	P1082	+11035948	normal	quantity
Q31-P1082-d18e4ac9-q31$13a2b13b-ca56-4166-97de-67a29fbfae44-0	Q31	P1082	+10951266	normal	quantity
Q31-P1082-50e2272a-q31$9250a11d-6637-47f4-80b9-7ad09b673d47-0	Q31	P1082	+10839905	normal	quantity
Q31-P1082-4ed12a7a-q31$d1fc5131-67bf-4c04-a5d8-b511928d0942-0	Q31	P1082	+10753080	normal	quantity
Q31-P1082-e737030d-q31$39627af5-d90e-4193-8b7e-90a99f1f05dc-0	Q31	P1082	+10665140	normal	quantity
Q31-P1082-1c859102-q31$a53d537c-6745-4707-84df-c568d3df86f2-0	Q31	P1082	+10584534	normal	quantity
Q31-P1082-8fcbb769-q31$b8058801-6638-4875-9a24-6f992c4e37bb-0	Q31	P1082	+10511382	normal	quantity
Q31-P1082-f90107a0-q31$d40f21af-92bb-4350-89f4-3e450cb7082c-0	Q31	P1082	+10445852	normal	quantity
Q31-P1082-b4a080e4-q31$9c80258d-c1ea-4221-9bda-2659e70d0895-0	Q31	P1082	+10396421	normal	quantity
Q31-P1082-58cdc30c-q31$70ee8241-13af-4b08-900e-75abcb34b52d-0	Q31	P1082	+10355844	normal	quantity
Q31-P1082-a4f207d4-q31$5eec0470-8e92-4d2e-82e0-44e7c1c0c862-0	Q31	P1082	+10309725	normal	quantity
Q31-P1082-2abf6863-q31$70a97911-e742-4fac-862f-bfbd99465227-0	Q31	P1082	+10263414	normal	quantity
Q31-P1082-e70d1b7e-q31$6ad14167-982f-4223-a967-073a7232a090-0	Q31	P1082	+10239085	normal	quantity
Q31-P1082-60b40a72-q31$85d3385e-adb9-4881-b564-0e40a21fb6d0-0	Q31	P1082	+10213752	normal	quantity
Q31-P1082-4a0c14af-q31$271a0ff1-19bb-4e13-86c4-f95788828836-0	Q31	P1082	+10192264	normal	quantity
Q31-P1082-7a41caa7-q31$88de3198-114b-446c-8f6c-dc8c5bfe9fce-0	Q31	P1082	+10170226	normal	quantity
Q31-P1082-8cee37c6-q31$96f23fec-4030-4ecc-8ef1-31e7c63fe9b0-0	Q31	P1082	+10142776	normal	quantity
Q31-P1082-b3400552-q31$3b049222-e091-45ce-95e5-b2bcd5f2de03-0	Q31	P1082	+10130398	normal	quantity
Q31-P1082-8c426a6e-q31$68760758-6d2e-45b6-a635-4776ab51c742-0	Q31	P1082	+10100341	normal	quantity
Q31-P1082-b8c33213-q31$eecc66e1-108c-47e5-a383-92a9bd00bab7-0	Q31	P1082	+10068319	normal	quantity
Q31-P1082-0d2f368c-q31$03c4b92c-4fe6-4d4e-bd1e-daefa3bbd1d1-0	Q31	P1082	+10021997	normal	quantity
Q31-P1082-1102c70a-q31$0dcd2117-3f6e-4448-9546-a764d34dc4d9-0	Q31	P1082	+9978681	normal	quantity
Q31-P1082-9ec0f82a-q31$23f042cc-93b6-4bc6-8560-e3faf4f8b420-0	Q31	P1082	+9848647	normal	quantity
Q31-P1082-c563baa8-q31$b99e76de-80ff-4f6c-aa3f-f75534027dab-0	Q31	P1082	+9650944	normal	quantity
Q31-P1082-7fcbd333-q31$2498ca28-c289-408c-9bdb-6478f2fd84f3-0	Q31	P1082	+9189737	normal	quantity
Q31-P1082-9a389b0d-q31$567689fd-132d-4ccf-87aa-a0660a91fa6b-0	Q31	P1082	+8512185	normal	quantity
Q31-P1082-fda4da39-q31$89ebbfd1-8978-496e-b971-8f24c5a71778-0	Q31	P1082	+8091997	normal	quantity
Q31-P1082-dcac9feb-q31$103f9554-d079-4c08-95fd-22dcc199887a-0	Q31	P1082	+7405570	normal	quantity
Q31-P1082-60b66f52-q31$aae1d94e-0769-4c23-a276-65c2dae20d75-0	Q31	P1082	+7423784	normal	quantity
Q31-P1082-44e5c3aa-q31$3439a974-fecf-439b-ba6d-64ddded118c1-0	Q31	P1082	+6693546	normal	quantity
Q31-P1082-98ec6873-q31$c345d41b-dae5-4fd6-946a-e6403687b8fc-0	Q31	P1082	+6069317	normal	quantity
Q31-P1082-fae6e433-q31$7ecb352c-9b65-4cec-8b84-fb7c011d6b4c-0	Q31	P1082	+5520016	normal	quantity
Q31-P1082-c8f5aedf-q31$287f3477-10b2-443c-ae1a-111c5c6f320e-0	Q31	P1082	+4827834	normal	quantity
Q31-P1082-8240856d-q31$0a900274-9254-4a8a-8429-9694369f8ebf-0	Q31	P1082	+4529465	normal	quantity
Q31-P1082-808da8d6-q31$a24e7d2b-ab30-41cc-bb52-dea940033ae2-0	Q31	P1082	+4337198	normal	quantity
Q31-P1082-fb6944dc-q31$c29eaadb-fb18-4cf6-a396-d004b1d4d053-0	Q31	P1082	+3786556	normal	quantity
Q31-P1082-318b8dd9-q31$8ae70778-44fb-92f4-b102-43b0c11b7deb-0	Q31	P1082	+11521238	normal	quantity
Q31-P1082-aeeaf947-q31$49541be0-4a66-8efb-4a48-1f986104c6d3-0	Q31	P1082	+11584008	preferred	quantity
Q31-P1667-781a9546-q31$5da39a34-35db-45c7-a4ec-3213b22a8515-0	Q31	P1667	"1000063"	normal	external-id
Q31-P1151-Q3247091-q31$2b65e1db-49ec-d10c-e64f-8a075bd8f165-0	Q31	P1151	Q3247091	normal	wikibase-item
Q31-P3348-4ed3b437-q31$6fd6c93d-b0dd-479f-8610-6ff9b37da036-0	Q31	P3348	"2020"	normal	external-id
Q31-P1333-05193b05-q31$a4226877-4ebb-b624-e895-10ee0968d7d0-0	Q31	P1333	@49.49699/5.47248	normal	globe-coordinate
Q31-P1546-Q1308013-q31$34946ee4-4ced-be54-69e6-4239f9971cd2-0	Q31	P1546	Q1308013	normal	wikibase-item
Q31-P5125-Q7112200-q31$45af9660-74a8-461a-ab9d-39588e094ac6-0	Q31	P5125	Q7112200	normal	wikibase-item
Q31-P349-5a1d7b5d-q31$c3ba4af9-cc89-4b2d-b9ed-2211228cef09-0	Q31	P349	"00560624"	normal	external-id
Q31-P38-Q4916-q31$2ad587b8-a440-438e-a7e0-3f992600d36d-0	Q31	P38	Q4916	preferred	wikibase-item
Q31-P38-Q232415-q31$45fab867-486a-f25d-e844-aee60b9e2244-0	Q31	P38	Q232415	normal	wikibase-item
Q31-P3365-1923c593-q31$aa4c2e92-47e4-455e-a99b-e53a9dc1095b-0	Q31	P3365	"belgio"	normal	external-id
Q31-P3221-a801c919-q31$73349862-2e66-4b08-aa91-8ff0140f6b82-0	Q31	P3221	"destination/belgium"	normal	external-id
Q31-P2581-dce5e4b0-q31$e9451904-4777-4b13-b5d9-1017d853f9d5-0	Q31	P2581	"00009714n"	normal	external-id
Q31-P1566-692400bd-q31$25384c5e-dbde-4ce1-945a-28a42da8d78b-0	Q31	P1566	"2802361"	normal	external-id
Q31-P227-a3f24c55-q31$2588394d-cc64-4e73-a1eb-f938d860af41-0	Q31	P227	"4005406-8"	normal	external-id
Q31-P487-d7e77880-q31$7fc83c94-45b0-3550-9cb1-c45f375752a4-0	Q31	P487	"🇧🇪"	normal	string
Q31-P1792-Q7021332-q31$c1ab1ec2-c158-4f52-bca7-8271f7203611-0	Q31	P1792	Q7021332	normal	wikibase-item
Q31-P2852-Q1061257-q31$b5c0f857-ea9e-4736-883d-bad63beb4bb9-0	Q31	P2852	Q1061257	normal	wikibase-item
Q31-P2852-Q25648793-q31$3c8ba05c-6526-4bd0-8218-95c0317e6e90-0	Q31	P2852	Q25648793	normal	wikibase-item
Q31-P2852-Q25648794-q31$3340c178-4c7a-4aaa-af8b-93e040bf6f8b-0	Q31	P2852	Q25648794	normal	wikibase-item
Q31-P2852-Q25648798-q31$99d0865a-4b35-add6-4d2a-6da4cfd60d4d-0	Q31	P2852	Q25648798	normal	wikibase-item
Q31-P3916-e7aac26c-q31$b70166f2-200f-487d-ad63-74d2fc8b9504-0	Q31	P3916	"concept893"	normal	external-id
Q31-P2853-Q1378312-q31$596080bd-ec70-4dc5-a3db-00bc1d2fba58-0	Q31	P2853	Q1378312	normal	wikibase-item
Q31-P2853-Q2335536-q31$15bf4d04-daa4-483b-90be-5e2d7aa96d01-0	Q31	P2853	Q2335536	normal	wikibase-item
Q31-P395-955cca1c-q31$9ff43bcc-4966-2505-3d78-4f5e004829e7-0	Q31	P395	"B"	normal	string
Q31-P3238-98089e6d-q31$036f80b2-8747-4c0f-9962-2172ef44fec2-0	Q31	P3238	"0"	normal	string
Q31-P1335-b9c17303-q31$cb62fd33-42cf-07ad-68cd-2f74a1022bbf-0	Q31	P1335	@51.089449723913674/2.5452695664522746	normal	globe-coordinate
Q31-P2633-Q1115035-q31$cd636d26-4a15-210d-4235-bb68f39c49fc-0	Q31	P2633	Q1115035	normal	wikibase-item
Q31-P298-84aeec61-q31$273b592d-b189-4716-9a31-d4286d7d975b-0	Q31	P298	"BEL"	normal	external-id
Q31-P1448-cf362895-q31$457a1a6b-4831-1b77-9f9b-3f0bb59750c4-0	Q31	P1448	'Königreich Belgien'@de	preferred	monolingualtext
Q31-P1448-ef8372e2-q31$2c4d3b7e-48a0-9a43-adce-fcb25e04b49b-0	Q31	P1448	'Kingdom of Belgium'@en	normal	monolingualtext
Q31-P1448-8cb2394f-q31$d0147c53-4fbe-d7ce-cdeb-ad2a3c3cf64a-0	Q31	P1448	'Koninkrijk België'@nl	preferred	monolingualtext
Q31-P1448-40789783-q31$f5ba9548-4a91-8e50-d095-ad62fe569f2b-0	Q31	P1448	'Royaume de Belgique'@fr	preferred	monolingualtext
Q31-P1448-4c4e0660-q31$e0865481-4ec5-9ef3-760a-21547c44d0a6-0	Q31	P1448	'Konungariket Belgien'@sv	normal	monolingualtext
Q31-P1448-a4e004f5-q31$043d9387-430e-7ad9-f618-1bb4ee622a23-0	Q31	P1448	'Belgické kráľovstvo'@sk	normal	monolingualtext
Q31-P1313-Q213107-q31$c1b35bf8-489d-f0f9-c6ea-b6d7911bede7-0	Q31	P1313	Q213107	normal	wikibase-item
Q31-P3417-cc19b142-q31$17408b9c-421b-4cd4-9f97-069d58704f74-0	Q31	P3417	"Belgium"	normal	external-id
